BPUIC1;BPUIC2;DISTANCE
8508081;8508080;1.4884
8588122;8506143;0.8889
8501604;8501605;6.5689
8508008;8508100;7.5986
8530246;8530067;0.2418
8503287;8503293;1.225
8506036;8506038;1.6702
8504385;8530011;1.5588
8506019;8506018;4.5159
8501471;8501470;3.7654
8501069;8501053;0.5318
8508206;8508205;3.7234
8501382;8501383;0.4892
8503128;8503147;2.0836
8503001;8503020;2.2472
8503020;8503006;4.5116
8509175;8509174;4.7063
8502247;8502237;1.0574
8516350;8515997;1.797
8504003;8504010;1.7719
8504291;8530263;1.0647
8506109;8506108;2.3675
8530760;8530800;2.561
8501397;8501398;3.9395
8506362;8506361;0.9039
8504126;8504127;3.6867
8506307;8506306;2.8546
8502119;8502105;4.2557
8504300;8504416;2.8701
8501667;8501666;0.9767
8502169;8502168;1.0788
8502201;8502202;3.8232
8508003;8508004;3.1826
8506298;8506299;3.3085
8507481;8507483;5.4448
8504314;8504237;8.4686
8503428;8503429;2.6184
8505214;8505415;3.1017
8504103;8504191;0.724
8508261;8508260;2.3083
8503403;8503404;3.4361
8502197;8502177;0.9835
8501263;8501280;0.559
8502005;8502006;3.7898
8502214;8502215;3.736
8503113;8503115;8.0127
8502197;8502178;1.0654
8502230;8516187;1.721
8508255;8508256;3.5374
8502101;8502102;2.7457
8509154;8509153;1.3571
8501122;8501123;1.6066
8506367;8506366;0.7403
8507087;8507095;1.5667
8505112;8505111;5.9179
8515993;8502204;10.671
8503421;8518924;4.327
8506041;8506042;4.7389
8506209;8506208;5.6093
8500117;8500118;2.4512
8501117;8501118;2.3872
8501300;8501301;1.4832
8501199;8501480;0.4427
8502224;8502223;2.7337
8502194;8502181;0.5503
8501378;8501387;1.7317
8501176;8501175;2.6212
8501498;8501499;0.6224
8509002;8509056;1.2513
8500104;8500103;2.8447
8508187;8508292;5.049
8501636;8501605;2.7017
8500172;8500165;2.3399
8501662;8501663;1.6158
8500208;8500207;3.4688
8501729;8501673;1.5534
8506014;8506035;4.359
8501003;8501000;2.4
8500215;8500216;2.2609
8507474;8507475;15.5777
8506023;8506022;7.6335
8502206;8515992;0.9517
8503292;8503282;3.3044
8500280;8500272;0.367
8502226;8502225;2.8183
8502110;8500218;3.6389
8530355;8501458;0.5234
8502222;8502223;4.0494
8509267;8509268;2.2603
8509264;8509269;1.2956
8501008;8516155;3.0169
8501675;8501674;1.2506
8508265;8508264;2.4255
8507000;8516161;3.2056
8506305;8506304;4.8242
8506316;8506314;2.7725
8501063;8501064;0.8465
8509000;8509050;1.1207
8505001;8505018;0.8585
8508384;8508394;2.2585
8501068;8510670;0.8119
8501160;8501162;1.7827
8504415;8500220;2.6763
8507000;8504108;2.9915
8501456;8501457;1.2345
8508271;8508267;1.6645
8501500;8501572;1.5964
8507281;8507290;2.992
8509002;8509057;1.8788
8502306;8515996;0.5
8504108;8507091;1.8579
8503413;8503405;4.0351
8505585;8505581;2.1148
8503091;8503090;1.2975
8506275;8506288;1.1371
8500101;8500100;2.8431
8507079;8507078;1.4445
8509400;8509401;5.098
8500203;8500202;2.3889
8508202;8508201;3.2974
8506270;8506358;0.2841
8502128;8502116;2.6191
8501107;8501106;6.1367
8500118;8500119;2.8504
8505305;8518475;1.0114
8509069;8509068;0.9931
8506175;8506169;0.7633
8508294;8508295;2.7923
8502113;8502112;4.451
8501094;8501085;2.5613
8506211;8506210;4.3584
8505007;8505111;5.8582
8509169;8509168;3.1745
8503106;8503107;2.8383
8502216;8502215;3.9158
8505584;8505578;0.6281
8508297;8516354;2.9267
8501282;8501283;0.5738
8501067;8501068;1.6844
8501494;8501727;0.5216
8506281;8506282;3.0811
8503000;8503020;1.9183
8502211;8502105;2.0783
8505209;8505207;6.2999
8503056;8503057;1.1923
8502269;8502271;1.9645
8509364;8509365;2.5925
8503527;8503526;3.3655
8503400;8503313;5.0161
8506100;8506019;4.0008
8501117;8501116;4.0458
8502120;8502001;1.5695
8516272;8517142;3.337
8503290;8505350;3.0072
8503000;8503090;0.9202
8503109;8503108;2.4342
8503141;8503101;0.9322
8503220;8503221;3.9055
8503340;8503016;2.4162
8500170;8500164;0.9117
8505495;8505494;2.2683
8501066;8501056;0.7142
8509063;8509062;1.4338
8504075;8504074;2.5797
8504103;8504115;2.808
8501503;8501502;4.2978
8509260;8509259;4.1898
8502182;8502196;0.4745
8500214;8500215;3.7987
8500159;8500105;9.913
8505394;8505390;0.5207
8504140;8504128;2.0514
8501456;8501460;0.4827
8505001;8505011;2.8285
8503305;8503304;3.6736
8501474;8501473;0.683
8508005;8508004;3.1516
8502023;8502022;2.4263
8516154;8504488;3.1553
8504185;8504186;2.8162
8509181;8509182;1.8078
8508061;8508060;1.0792
8501603;8501602;3.7612
8502275;8502188;0.6641
8508261;8508262;2.6165
8505350;8503280;4.9349
8505202;8505204;12.9934
8505395;8505392;1.6057
8505300;8505301;2.4355
8501163;8501162;0.5786
8503300;8503123;2.3405
8508313;8508314;2.7203
8518243;8503463;2.1409
8506374;8506470;0.4238
8501475;8501473;2.2928
8501281;8501282;0.38
8506396;8506397;1.8208
8502008;8502011;2.6168
8501084;8501097;1.9854
8519685;8502123;0.6753
8505491;8505492;1.0385
8501127;8501200;3.8485
8504467;8504466;2.7068
8516154;8504489;1.1201
8501485;8501179;0.3673
8501448;8501466;0.7706
8502000;8500218;3.7126
8506010;8506206;3.2106
8501447;8501495;0.4669
8593774;8593773;0.4259
8500221;8500220;3.4776
8502161;8516450;1.6317
8504129;8504400;4.1368
8506277;8506288;1.1554
8501124;8501125;1.4545
8503409;8503408;3.2851
8504385;8504384;1.749
8503465;8503466;2.5502
8502024;8502042;0.8448
8508100;8508101;4.7066
8503224;8503223;4.289
8505004;8502205;6.0461
8501386;8501387;2.5076
8504231;8504221;3.0467
8510470;8507388;0.9731
8500031;8500032;1.5783
8503505;8503529;3.6889
8501198;8501395;0.8752
8506304;8506303;5.3358
8508316;8508323;4.9159
8504126;8504125;2.9287
8504020;8504014;3.7732
8509002;8509003;4.5498
8506202;8506201;2.7877
8508157;8508158;0.9114
8505217;8505218;5.1304
8503402;8503403;1.3544
8500109;8500105;11.2084
8503307;8503016;4.9894
8509367;8509368;1.5032
8501422;8501423;5.4805
8507388;8507389;4.3374
8501170;8501169;0.6312
8504100;8504181;2.2087
8593774;8501479;0.7385
8500125;8500124;6.1591
8516161;8507002;1.7287
8506044;8506043;2.9631
8504079;8504078;1.2235
8506210;8506290;3.0033
8508062;8508061;1.0731
8506004;8506005;2.705
8504025;8504024;4.5799
8502221;8502229;2.8754
8501087;8501097;0.9024
8508308;8530799;0.6436
8518100;8506359;0.4295
8530263;8504200;1.0891
8501152;8501151;1.0637
8501601;8501602;4.4173
8504306;8504307;3.3517
8509053;8509054;1.7634
8509256;8509257;1.483
8508317;8508318;3.9311
8530303;8501500;1.2176
8508396;8508394;4.4759
8503240;8503238;1.1187
8500304;8500305;3.564
8504219;8504218;3.3209
8506302;8506270;0.6252
8504316;8530260;0.5996
8503306;8503129;2.682
8504127;8504128;3.7162
8506208;8506206;9.6858
8503315;8503314;2.3961
8500186;8500187;3.7889
8507068;8507069;1.0947
8504123;8504124;2.9003
8507085;8507084;1.0073
8506372;8506371;1.3723
8506277;8506289;1.6953
8506301;8506300;2.3356
8504026;8504027;2.9601
8500141;8500126;3.2537
8506184;8506183;3.0274
8507003;8508200;4.9935
8502270;8502186;0.4603
8500170;8500162;0.6407
8501400;8501402;8.2476
8506016;8506038;1.0222
8503295;8503288;0.7457
8502164;8502165;0.6968
8506290;8506291;2.5986
8507478;8507475;10.5074
8507278;8507277;2.7597
8530783;8501159;1.67
8504139;8504138;4.3282
8503124;8503125;3.9694
8505002;8505011;2.645
8501394;8501198;0.9639
8506121;8506122;3.9631
8503112;8503110;2.141
8508392;8508391;3.3501
8509357;8509356;3.8816
8503287;8503206;2.6495
8503100;8503004;1.5945
8502220;8503001;4.4112
8508294;8508293;3.3402
8504105;8504117;1.6703
8500175;8500174;2.5055
8500025;8500024;2.1099
8507093;8507078;2.0988
8508207;8508269;3.9556
8508216;8508215;1.7892
8501501;8501500;4.3643
8501115;8501108;8.2617
8504300;8504229;4.547
8507383;8507389;3.8058
8504293;8504294;2.2226
8508320;8508318;1.2869
8501287;8501286;0.6725
8507492;8508301;2.7865
8501396;8501397;1.9016
8501095;8501096;3.3179
8501170;8501168;0.8622
8503319;8503318;1.0523
8504308;8504307;1.1658
8506131;8506128;1.1139
8506197;8506196;2.7844
8500286;8500285;1.5309
8501375;8501374;0.9631
8503400;8506041;3.9399
8508053;8508054;0.6203
8503502;8503503;3.638
8501497;8501446;0.6527
8501262;8502476;0.6946
8502023;8502042;1.8767
8508089;8500207;3.1702
8500122;8500123;2.8982
8502209;8503202;2.4237
8506177;8506176;1.7055
8519370;8509373;0.9345
8504486;8504487;4.8352
8516350;8502200;1.515
8504129;8504140;2.1015
8507293;8507294;3.1149
8503501;8503502;6.2871
8508057;8508071;0.3791
8530378;8530430;0.5021
8503284;8503285;2.4457
8505177;8505176;1.2845
8501169;8587727;0.8863
8506308;8516271;1.3448
8503141;8503100;1.2696
8501577;8501578;2.7476
8509173;8509174;2.0265
8505113;8505114;6.333
8509175;8509176;5.6661
8506137;8506136;5.7569
8507270;8507271;1.7695
8504475;8504463;0.9637
8504075;8504077;2.1224
8503293;8503286;0.7561
8503506;8516219;5.9022
8508102;8508101;2.267
8507077;8507093;0.9136
8501454;8501465;1.0573
8505497;8505496;1.4921
8530225;8504387;0.9429
8506015;8506035;1.3335
8509072;8509073;2.6038
8508395;8508359;0.4307
8503312;8503311;2.5748
8505874;8505861;2.6189
8504131;8504130;3.8107
8503308;8503309;2.4953
8507276;8507275;1.5972
8500100;8500162;6.7399
8500275;8500274;1.1828
8500179;8500178;2.4191
8504419;8504300;3.1185
8503299;8503209;2.1147
8506377;8506376;1.302
8506106;8506105;3.7925
8508265;8508266;2.4004
8504314;8504321;1.273
8507072;8507073;2.7398
8505402;8505412;1.645
8502168;8502176;0.5017
8530760;8530799;0.6866
8506213;8506214;1.8479
8504321;8504315;2.67
8501006;8501007;1.339
8503508;8503512;1.5162
8504304;8500100;3.7073
8503126;8503127;2.6801
8501601;8501600;5.441
8501081;8501090;0.9534
8501426;8501428;3.8933
8504471;8504469;0.4573
8501281;8501266;0.437
8503235;8503236;1.3402
8504133;8504132;5.6137
8504300;8504461;1.0072
8501054;8501090;0.4569
8506376;8506375;1.8795
8501124;8501123;1.8435
8509185;8509186;3.8636
8506355;8506354;1.5612
8506006;8506007;2.3546
8508085;8508086;3.7977
8503130;8503123;4.4426
8509064;8509065;2.9954
8501178;8501175;2.2188
8500211;8508159;0.51
8501677;8501676;3.2127
8504483;8504468;0.844
8503511;8503505;1.5418
8502199;8502177;0.5885
8509417;8509418;3.3811
8502219;8502218;2.5473
8504475;8504474;1.45
8509167;8509168;3.893
8500116;8500115;2.0607
8500201;8500200;2.2182
8509250;8509251;2.1257
8503000;8503015;1.8436
8503211;8503220;2.3997
8508304;8508303;2.9735
8501060;8501061;3.1366
8504464;8504463;1.2128
8503210;8503209;1.73
8504221;8504220;2.9048
8501107;8501108;4.8174
8502002;8502003;2.5185
8503425;8503424;1.8309
8504486;8504400;4.8374
8508083;8508084;2.834
8508266;8508267;2.29
8515296;8501636;5.9369
8501481;8501725;0.2499
8502004;8502003;2.809
8503134;8503135;4.6674
8501575;8501573;2.0349
8500304;8500320;3.3517
8506373;8506374;0.6234
8506143;8506126;0.702
8504011;8504012;3.848
8530261;8501284;0.3668
8500211;8500210;5.6891
8501566;8501568;1.0041
8503501;8516176;0.8639
8500209;8500210;3.298
8500289;8500288;1.3846
8504040;8501200;1.6556
8503423;8503424;2.227
8508056;8508071;0.7222
8504481;8504480;1.9981
8506123;8506122;1.9752
8501194;8530262;0.7208
8503103;8503104;2.8426
8506196;8506195;2.6698
8504310;8504309;1.7531
8506210;8506300;3.7451
8503228;8503227;3.9828
8504404;8518749;3.537
8504293;8504292;2.3862
8508302;8508303;3.2172
8506190;8506185;2.2962
8506131;8506132;2.8279
8502195;8502180;0.5249
8503106;8503105;1.2296
8508163;8508164;0.5067
8517527;8502300;0.801
8516219;8502106;3.6964
8501069;8510670;0.5776
8503109;8503112;2.4283
8508064;8508066;3.7086
8504400;8504484;4.3358
8501400;8501554;0.5145
8509257;8509258;2.2766
8509254;8509251;2.7389
8509063;8509064;3.0369
8506394;8506393;2.5419
8506378;8506381;1.9939
8501037;8501036;4.4102
8505584;8505580;3.0973
8500213;8500212;5.2051
8505000;8508321;1.7607
8502025;8502026;3.4322
8501120;8518452;2.354
8503126;8503125;3.2267
8509059;8509060;3.5015
8502010;8502007;2.2324
8500022;8500023;2.1761
8504404;8504403;1.5569
8500207;8500206;0.9644
8506365;8506364;0.3999
8506387;8506386;0.9344
8507072;8507071;1.4837
8501492;8593772;0.6013
8501565;8501564;2.7728
8507071;8507070;2.8175
8503508;8503506;5.047
8500190;8500169;1.37
8501688;8518885;0.787
8508250;8508251;1.1907
8506171;8506179;1.398
8504062;8504063;5.5976
8506398;8506397;2.1174
8500123;8500124;5.2648
8507284;8507293;1.6683
8506385;8506386;0.6035
8502185;8502248;0.528
8501396;8501388;1.2081
8506313;8506314;4.0139
8505201;8505119;15.7624
8508306;8508308;7.4405
8502032;8502031;1.637
8504103;8504113;3.7297
8501580;8501576;1.3225
8593772;8501491;0.2856
8504131;8504132;5.4493
8504386;8530012;1.3692
8509255;8509254;2.4041
8501064;8501065;0.8747
8507382;8507381;2.2086
8500289;8500211;1.4534
8502214;8502213;5.9823
8500021;8517131;1.6846
8500027;8500028;4.1066
8500172;8500173;1.8577
8501126;8501127;0.9973
8501404;8501405;3.6541
8506016;8506017;2.2808
8508213;8508215;7.9905
8506294;8506201;4.1114
8506292;8506293;4.4966
8505404;8505415;2.31
8501008;8516283;1.4006
8503086;8503087;0.7563
8508060;8508059;3.6259
8504184;8504185;4.2126
8505114;8505119;28.8634
8501053;8501059;1.251
8501001;8501002;2.026
8508210;8508211;7.8764
8508309;8508308;4.8565
8501472;8501473;2.4035
8504387;8530012;1.0152
8507088;8507089;2.5602
8509198;8509199;6.0904
8501125;8501126;3.5746
8505393;8530790;0.7937
8501061;8501055;1.2449
8502186;8502278;1.0576
8506127;8506126;1.3508
8505397;8505396;0.7457
8506128;8506119;1.3213
8503097;8503098;2.3534
8501179;8501480;1.3843
8507481;8507480;1.4379
8508250;8507100;1.1735
8504221;8504480;4.0988
8508219;8508218;6.0609
8501497;8501447;1.4026
8506107;8506108;3.5024
8501059;8501030;0.9199
8501120;8504000;2.2298
8504217;8504216;4.4633
8509368;8509369;2.7144
8506101;8506100;4.145
8506007;8506008;2.2292
8509189;8509192;10.8214
8504312;8504311;3.8487
8506292;8506291;3.5404
8503208;8503210;2.3349
8502192;8502196;0.8948
8506286;8506380;1.0559
8500135;8500101;2.1042
8504411;8504410;2.3278
8503003;8503004;2.2422
8503120;8503121;4.8801
8509179;8509178;6.1704
8506194;8506195;3.4941
8506377;8506276;1.0825
8509188;8509187;1.6975
8501164;8501163;0.5786
8501057;8501062;1.7788
8506170;8506178;0.748
8505589;8505580;1.6814
8506302;8519306;0.861
8502026;8502027;1.4299
8501484;8501554;0.4046
8501668;8501667;1.4052
8506182;8506188;2.1602
8505164;8505163;5.7425
8593467;8501464;1.3894
8509266;8509267;4.6226
8505170;8505172;5.0748
8502030;8502043;0.7913
8503237;8503236;2.5652
8506109;8506121;6.576
8507063;8589198;0.493
8500192;8500194;3.6912
8507287;8507298;2.7136
8500180;8500177;1.8839
8501172;8501171;1.2492
8509067;8509065;5.6611
8505594;8505581;1.5101
8593773;8501477;0.612
8501080;8501091;0.8647
8501686;8501687;3.6664
8504224;8504225;2.167
8501492;8588193;0.7602
8509350;8509351;1.201
8507006;8507007;3.601
8503506;8503511;2.6796
8504489;8504495;0.8717
8503512;8503509;2.0422
8505006;8505005;3.0853
8501048;8501047;1.0391
8508202;8508203;3.8213
8502012;8502020;2.4462
8503232;8503233;1.5502
8508168;8508162;0.8341
8508086;8508087;2.5363
8509404;8509402;8.7055
8503121;8503139;0.8836
8509263;8509262;6.1027
8500136;8500010;1.8721
8504314;8504312;8.1336
8508059;8508058;2.1505
8501092;8501093;1.6562
8503128;8503127;3.1859
8503464;8503465;6.0134
8500035;8500037;5.4504
8506169;8506176;0.7381
8530366;8501452;0.9486
8501066;8501067;1.0923
8508263;8508264;4.1103
8508070;8508054;2.0362
8506018;8506017;1.5911
8501484;8501485;0.5337
8501490;8501491;0.5511
8504133;8504134;4.2111
8502200;8505000;4.5091
8508161;8508173;1.2374
8503094;8503093;0.5592
8501603;8501604;4.2175
8502208;8502209;2.295
8503340;8503006;2.4435
8500033;8500032;1.6107
8501062;8519077;1.0232
8507100;8507009;5.6668
8509075;8509073;3.2147
8501672;8501671;1.5269
8508100;8508151;0.8553
8515995;8502230;1.229
8501037;8501047;1.3415
8500196;8500199;3.1673
8508152;8508151;1.1441
8505300;8505415;17.1561
8505165;8505119;3.2336
8503208;8503207;1.914
8501580;8501579;4.2175
8506378;8506383;1.0419
8506284;8506283;3.2388
8502113;8502191;0.9074
8509150;8509152;6.4657
8509184;8509183;1.8663
8502020;8502009;5.5569
8504462;8504474;1.2674
8506003;8506002;2.7669
8503010;8503011;0.998
8500192;8500191;1.7816
8503409;8503410;1.987
8504060;8504061;1.7989
8501160;8501181;0.4252
8503205;8503206;3.2482
8500309;8502116;4.865
8509050;8509180;2.6805
8509177;8509176;2.7507
8508252;8508251;1.0658
8502216;8502217;3.0624
8502276;8502268;0.7143
8505000;8517336;2.102
8503294;8503288;0.9882
8506303;8506393;3.1689
8506023;8506024;7.407
8506286;8506275;1.8598
8504140;8504188;3.0946
8507087;8507086;1.9106
8501665;8501666;2.5792
8509359;8509361;2.2867
8501098;8501089;1.7251
8503056;8503055;1.0707
8503310;8503006;2.5229
8505402;8505401;1.1953
8500113;8500114;2.8319
8504020;8504021;6.1285
8509413;8509414;3.7448
8506203;8506204;2.8915
8530066;8530067;0.4208
8507100;8507094;3.3406
8504072;8504071;1.1933
8501100;8501151;0.7624
8503302;8503301;3.3155
8504481;8504490;1.5193
8504108;8507079;2.047
8501178;8501174;0.3987
8504483;8504484;3.3406
8502110;8502111;2.7324
8503204;8503203;2.5593
8501020;8516283;2.079
8500188;8500187;2.4814
8501166;8501168;0.9498
8509188;8509189;2.4773
8502219;8502202;4.1441
8504383;8504382;2.0687
8506290;8506280;1.6212
8505493;8505492;0.645
8508302;8508301;2.6119
8504315;8504316;3.6672
8504236;8504237;4.0909
8509170;8509169;3.5579
8506104;8506105;3.7975
8505007;8505006;3.5174
8515994;8502231;1.045
8504218;8504217;5.3458
8503421;8503420;3.2241
8506285;8506284;1.7051
8503307;8503308;3.4585
8503427;8506148;3.5289
8507273;8507272;3.4684
8500218;8500037;3.0195
8508088;8508087;2.1511
8501002;8501003;3.387
8504221;8504222;4.0728
8503052;8503053;0.3007
8505174;8505175;1.3037
8509055;8509054;1.7123
8505410;8505407;2.2913
8504088;8504067;2.6897
8500300;8517131;1.4031
8502306;8502202;4.1448
8508316;8508317;1.6178
8503096;8503099;1.0014
8504139;8504181;1.8226
8508102;8508103;6.0211
8507478;8507480;4.9971
8501422;8501421;1.8507
8501677;8515296;3.0383
8503302;8503303;3.5579
8504073;8504074;1.9325
8506127;8506119;1.3337
8506001;8516218;1.3934
8506021;8506022;1.8689
8502247;8502105;3.423
8500141;8500127;1.8656
8504200;8504130;8.3548
8503527;8503525;2.5397
8504386;8530011;0.9719
8506178;8506206;3.5378
8503120;8503110;1.7072
8508085;8508084;2.1758
8506193;8506105;5.1429
8501476;8517485;0.9651
8503286;8503285;2.4449
8500275;8500283;0.5467
8506124;8506123;2.4
8501171;8587727;1.2695
8505174;8505173;2.972
8502106;8502105;1.744
8508206;8508207;3.3756
8501600;8501509;4.1204
8504314;8504381;0.6043
8503200;8503201;2.0051
8530064;8530066;0.2979
8505590;8505599;5.3181
8509067;8509068;1.6419
8501265;8501264;0.4588
8530334;8501564;1.0658
8501472;8501471;1.5573
8507281;8507291;2.723
8503413;8503415;4.3456
8501008;8501026;5.9182
8506205;8506204;3.1121
8501287;8501288;0.5581
8506025;8503429;3.7586
8517112;8502231;4.843
8504511;8530713;0.3564
8508263;8508262;2.0147
8504027;8504028;2.1553
8501609;8501952;20.9998
8502179;8502195;0.4792
8506133;8506134;2.6741
8501014;8501013;1.448
8508215;8516354;1.3773
8502275;8502268;0.5781
8508399;8508396;6.1242
8508184;8508183;1.4456
8501045;8501118;3.8683
8509061;8509060;3.5204
8501202;8501203;1.5685
8508056;8504410;2.3055
8509354;8509353;2.3203
8506395;8506396;2.2351
8500218;8500217;1.3358
8503102;8503101;1.7347
8509075;8509076;2.7648
8508155;8508157;2.7369
8503425;8503426;1.5976
8507288;8507299;1.0138
8503423;8506039;1.3451
8506213;8506212;4.3276
8501191;8530262;0.4456
8507472;8507471;2.9121
8503504;8503505;2.1948
8502174;8502184;1.5419
8506181;8506206;2.5741
8505400;8505417;1.4555
8500031;8500026;2.5961
8501031;8501030;4.7382
8507000;8508051;2.2209
8506011;8506010;3.6148
8506319;8509400;5.8567
8500136;8500119;2.8119
8503310;8503311;3.2914
8508057;8508058;0.9596
8500020;8500021;3.4994
8506297;8506200;4.7608
8500104;8500105;6.3542
8506317;8506318;3.6422
8506118;8506132;1.8865
8505304;8505303;3.5833
8501266;8501265;0.75
8503223;8503222;3.3706
8516272;8516273;1.464
8505305;8517519;3.4493
8509069;8509070;2.502
8502163;8502162;1.0887
8500034;8500033;1.926
8507378;8507560;1.6827
8504510;8530710;1.3721
8505306;8505307;2.6318
8506400;8506278;0.4171
8504414;8518749;0.847
8509187;8509186;3.7771
8506133;8506118;1.9686
8508311;8508310;3.2453
8530260;8504391;1.0373
8501671;8501670;3.9079
